District,LSOA,All People,Aged under 1 year,Aged 1 year,Aged 2 years,Aged 3 years,Aged 4 years,Aged 5 years,Aged 6 years,Aged 7 years,Aged 8 years,Aged 9 years,Aged 10 years,Aged 11 years,Aged 12 years,Aged 13 years,Aged 14 years,Aged 15 years,Aged 16 years,Aged 17 years,Aged 18 years,Aged 19 years,Aged 20 years,Aged 21 years,Aged 22 years,Aged 23 years,Aged 24 years,Aged 25 years,Aged 26 years,Aged 27 years,Aged 28 years,Aged 29 years,Aged 30 years,Aged 31 years,Aged 32 years,Aged 33 years,Aged 34 years,Aged 35 years,Aged 36 years,Aged 37 years,Aged 38 years,Aged 39 years,Aged 40 years,Aged 41 years,Aged 42 years,Aged 43 years,Aged 44 years,Aged 45 years,Aged 46 years,Aged 47 years,Aged 48 years,Aged 49 years,Aged 50 years,Aged 51 years,Aged 52 years,Aged 53 years,Aged 54 years,Aged 55 years,Aged 56 years,Aged 57 years,Aged 58 years,Aged 59 years,Aged 60 years,Aged 61 years,Aged 62 years,Aged 63 years,Aged 64 years,Aged 65 years,Aged 66 years,Aged 67 years,Aged 68 years,Aged 69 years,Aged 70 years,Aged 71 years,Aged 72 years,Aged 73 years,Aged 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 to 89 years,Aged 90 to 94 years,Aged 95 to 99 years,Aged 100 years and over,,
Arbourthorne,E01008099,1322,13,17,13,11,10,14,20,22,11,15,16,26,16,13,16,7,10,7,16,18,47,31,54,20,25,24,24,28,25,33,35,29,32,24,23,24,29,24,21,23,23,15,15,13,20,6,17,15,12,15,15,11,20,8,12,9,5,7,13,21,5,9,11,7,12,9,10,9,4,9,9,8,3,4,6,27,21,18,3,0,0,,
Arbourthorne,E01008100,1448,20,17,19,21,36,26,22,26,27,30,25,27,24,22,15,15,23,16,10,14,18,23,15,26,20,20,18,26,16,23,24,26,23,23,28,25,25,25,18,15,25,14,11,13,16,12,19,21,21,16,10,15,15,17,19,11,13,14,13,13,11,12,16,13,19,7,19,10,8,8,15,9,9,9,8,40,32,15,5,3,0,,
Arbourthorne,E01008101,1385,14,18,16,18,12,23,22,23,20,12,12,20,22,21,19,15,14,15,19,14,10,9,15,16,12,9,20,16,25,22,22,21,13,19,25,18,21,20,11,18,25,10,13,20,21,16,13,11,18,9,9,26,18,21,13,23,25,15,22,21,19,17,28,20,23,19,14,13,11,14,6,12,18,15,15,57,27,14,3,0,0,,
Arbourthorne,E01008102,1385,13,19,18,23,18,14,9,20,18,19,8,15,12,7,12,10,11,16,16,21,27,15,19,11,17,21,18,17,18,27,15,26,25,23,19,13,17,12,14,18,11,11,18,16,14,20,16,15,13,10,8,14,11,17,18,19,15,9,24,22,19,15,12,12,13,14,10,15,12,14,20,20,17,15,26,73,58,35,9,4,0,,
Arbourthorne,E01008103,1425,21,30,29,25,28,18,19,25,22,24,29,19,20,18,21,16,21,14,17,22,14,18,22,20,20,12,18,23,17,17,25,23,24,15,15,20,18,15,29,17,18,19,15,14,16,22,11,15,4,18,5,17,16,14,13,15,16,20,20,19,13,19,23,17,19,12,16,10,10,8,8,9,8,16,13,43,31,18,5,0,0,,
Beauchief and Greenhill,E01007823,1699,9,15,17,19,14,28,16,23,19,16,27,23,18,17,18,13,19,14,15,8,13,11,12,15,15,13,17,13,19,17,14,17,25,30,23,20,22,27,25,22,21,37,17,18,13,18,17,25,20,17,24,20,20,30,25,21,25,20,27,18,21,23,25,19,15,21,13,22,29,22,17,26,19,22,23,101,71,48,11,0,0,,
Beauchief and Greenhill,E01007824,1405,9,17,18,13,25,24,21,20,22,22,16,18,18,19,13,14,15,15,15,14,7,11,14,9,4,5,11,13,13,17,16,16,25,23,14,20,22,27,33,20,21,29,20,23,18,23,25,21,19,17,25,25,27,13,23,15,23,16,17,13,12,14,11,16,13,12,12,14,19,11,12,13,16,6,17,61,34,20,8,3,0,,
Beauchief and Greenhill,E01007825,1452,18,21,14,20,15,15,11,16,13,14,24,13,18,19,14,10,22,14,7,8,12,7,7,9,12,6,7,12,17,9,24,18,25,29,22,26,24,25,22,18,21,21,23,18,17,13,19,24,22,18,19,23,23,24,25,19,18,22,14,20,18,22,17,23,25,15,20,12,16,12,20,11,15,19,10,55,49,29,17,7,0,,
Beauchief and Greenhill,E01007826,1496,23,22,16,24,19,25,22,22,27,25,31,17,16,18,17,19,17,16,16,8,13,9,10,7,10,8,13,9,17,20,18,25,24,28,26,25,37,29,39,28,38,27,27,17,23,22,19,14,18,24,16,17,12,24,23,18,23,16,18,16,17,13,17,12,12,8,14,10,8,7,10,12,13,12,13,54,30,21,6,0,0,,
Beauchief and Greenhill,E01007833,1638,9,8,14,13,14,13,12,14,22,22,20,17,18,13,6,15,11,17,18,11,12,5,11,12,7,8,12,8,9,10,9,15,11,21,27,20,13,23,22,29,25,20,25,18,18,22,20,24,20,19,18,25,23,31,36,23,22,42,22,23,20,23,19,20,14,23,28,23,22,21,19,19,29,17,23,123,82,46,15,5,0,,
Beauchief and Greenhill,E01007834,1581,14,13,15,10,17,9,10,21,11,23,15,22,19,15,18,12,9,20,13,9,15,14,12,14,13,9,12,12,26,21,19,20,15,31,17,32,32,23,25,24,20,17,27,20,25,21,24,18,24,19,31,23,26,27,28,11,19,27,20,12,19,16,25,26,30,15,20,29,20,16,17,17,14,12,12,65,52,40,16,0,0,,
Beauchief and Greenhill,E01007916,1449,21,19,18,18,14,16,18,11,20,15,15,16,10,19,15,12,20,18,12,14,20,19,22,21,24,21,31,17,14,23,19,26,14,20,28,18,20,22,15,21,19,23,19,13,13,11,12,14,12,20,18,17,24,18,14,15,15,6,14,11,10,15,12,5,16,15,8,13,18,7,11,18,17,31,26,106,50,22,5,0,0,,
Beauchief and Greenhill,E01007917,1451,13,8,18,15,15,15,15,11,6,19,10,15,13,13,12,18,14,14,10,11,10,7,8,8,8,8,15,11,9,19,7,14,11,22,15,16,21,20,20,16,14,26,24,12,9,22,14,17,11,20,16,23,29,22,20,20,23,25,28,17,21,31,19,18,20,21,27,22,23,21,23,23,18,14,23,97,61,36,8,3,0,,
Beauchief and Greenhill,E01007919,1579,20,31,27,31,20,13,17,19,18,24,16,16,22,13,16,11,14,26,20,29,32,27,20,24,18,16,19,25,29,20,21,33,20,33,21,21,20,24,27,16,21,14,21,17,14,18,8,20,17,13,19,14,21,13,14,21,12,11,16,10,7,17,12,10,12,14,15,10,11,13,19,20,23,25,26,84,52,19,4,3,0,,
Beauchief and Greenhill,E01008080,1406,10,11,16,17,19,14,16,9,17,17,18,19,16,10,19,15,16,7,17,14,10,20,11,15,12,15,14,14,14,17,10,24,23,19,21,29,17,15,14,21,17,18,13,20,26,19,21,20,17,16,17,20,22,27,22,16,20,23,10,15,6,11,21,19,19,9,10,18,12,19,13,18,12,17,18,81,46,31,12,3,0,,
Beauchief and Greenhill,E01008081,1526,12,14,15,9,13,17,15,13,21,11,15,16,14,23,15,20,21,13,9,10,17,20,16,21,15,11,12,22,27,15,21,19,26,29,22,27,21,20,23,26,15,23,21,16,21,20,15,12,12,14,12,14,13,19,21,13,23,10,18,21,15,15,23,17,24,20,17,21,24,19,19,19,16,21,17,92,61,35,12,0,0,,
Beauchief and Greenhill,E01008082,1492,12,10,14,14,16,10,12,12,11,20,6,13,15,11,18,15,11,12,16,13,14,23,12,17,14,16,22,19,18,20,20,16,22,22,15,19,20,17,20,22,20,12,17,18,11,12,17,14,11,16,18,20,17,21,30,18,16,14,20,6,16,24,19,15,18,16,17,21,17,17,13,20,36,17,23,96,78,45,20,4,3,,
Beauchief and Greenhill,E01008083,1474,26,21,16,22,19,17,20,19,14,18,15,19,17,19,14,14,16,21,17,18,20,11,14,20,15,19,26,15,17,21,15,18,21,29,19,21,23,15,20,14,14,11,13,17,15,13,22,16,10,14,14,14,17,18,20,18,11,14,16,10,14,9,9,16,13,8,9,10,8,11,17,14,20,23,25,105,72,39,14,6,0,,
Beauchief and Greenhill,E01008084,1564,19,23,27,21,21,16,19,19,18,22,27,11,25,10,15,18,9,17,25,25,22,15,20,18,19,29,16,18,28,21,25,24,23,26,20,18,19,15,21,16,20,11,14,23,19,26,22,14,11,16,16,24,27,27,16,21,28,20,21,15,21,20,15,19,11,9,17,10,15,10,20,12,21,14,17,65,46,22,6,3,0,,
Beighton,E01008028,1667,15,22,19,22,23,24,19,16,26,28,20,20,26,23,30,28,19,28,17,14,17,24,17,20,13,23,18,17,13,30,21,27,26,24,29,30,36,34,29,29,25,24,23,27,16,21,28,11,15,19,23,21,21,28,31,18,30,17,18,17,18,14,17,12,16,19,13,12,11,14,15,12,6,6,8,50,45,20,10,0,0,,
Beighton,E01008029,1470,14,17,14,26,25,20,24,23,29,24,22,23,19,23,18,19,27,18,14,11,13,13,14,14,13,15,13,26,24,19,21,18,17,26,33,31,23,16,17,20,9,16,16,22,17,18,14,23,13,17,18,15,17,21,28,24,16,29,14,12,7,18,9,13,9,13,10,15,12,12,5,12,21,21,24,75,33,6,0,0,0,,
Beighton,E01008030,1465,18,22,20,18,20,25,17,19,22,25,20,17,16,17,14,16,13,20,15,9,16,17,16,11,11,16,12,13,26,31,30,36,23,32,36,30,28,26,33,22,21,23,17,25,25,16,18,13,23,19,24,24,25,14,14,9,22,21,13,18,6,11,11,8,9,8,14,12,10,8,8,8,6,7,9,42,31,22,15,5,3,,
Beighton,E01008031,1430,12,12,12,13,20,19,16,18,15,26,21,20,22,27,18,17,23,15,10,14,7,13,14,15,11,12,16,13,12,17,19,22,20,30,26,21,30,27,24,23,28,28,22,22,16,17,24,18,18,16,18,14,19,20,27,20,15,14,10,8,17,13,14,10,10,18,13,9,11,7,10,7,19,11,21,81,41,16,6,0,0,,
Beighton,E01008032,1406,7,14,20,18,20,16,15,25,18,19,24,19,17,16,13,12,15,12,9,7,23,11,14,20,14,20,21,18,23,25,31,23,33,15,21,21,20,20,23,15,17,15,16,22,17,10,19,20,13,6,18,16,20,20,22,20,18,17,14,11,17,15,13,18,12,17,15,8,15,20,15,9,9,11,11,69,36,27,11,0,0,,
